Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return
2020-08-09,2020,8,9,Sunday,32,2020-32,11662.26,12045.14,11662.26,11878.11,26114112569.0,11878.11,0.017332698670629254
2020-08-10,2020,8,10,Monday,32,2020-32,11881.65,11932.71,11195.71,11410.53,27039782640.0,11410.53,-0.03936534391564839
2020-08-11,2020,8,11,Tuesday,32,2020-32,11404.6,11748.4,11249.61,11584.93,25064548486.0,11584.93,0.015284938573538076
2020-08-12,2020,8,12,Wednesday,32,2020-32,11588.41,11796.4,11216.87,11784.14,27522199497.0,11784.14,0.017195015111304723
2020-08-13,2020,8,13,Thursday,32,2020-32,11772.66,12150.99,11685.46,11768.87,24237958589.0,11768.87,-0.0012955213149429268
2020-08-14,2020,8,14,Friday,32,2020-32,11768.7,11963.2,11768.7,11865.7,23354924400.0,11865.7,0.008227394765919493
2020-08-15,2020,8,15,Saturday,32,2020-32,11866.69,11934.9,11737.19,11892.8,20583375490.0,11892.8,0.0022843551383793237
2020-08-16,2020,8,16,Sunday,33,2020-33,11895.66,12359.06,11806.7,12254.4,28227687027.0,12254.4,0.03040482644811049
2020-08-17,2020,8,17,Monday,33,2020-33,12251.9,12335.71,11954.53,11991.23,26043227672.0,11991.23,-0.021475461465219614
2020-08-18,2020,8,18,Tuesday,33,2020-33,11990.88,12028.92,11687.33,11758.28,24502851117.0,11758.28,-0.019426708460436926
2020-08-19,2020,8,19,Wednesday,33,2020-33,11761.5,11900.41,11710.06,11878.37,20175242945.0,11878.37,0.01021312934149976
2020-08-20,2020,8,20,Thursday,33,2020-33,11878.03,11899.26,11564.98,11592.49,23762425999.0,11592.49,-0.024067507803910648
2020-08-21,2020,8,21,Friday,33,2020-33,11585.48,11689.41,11448.81,11681.83,20224191306.0,11681.83,0.007706363621583279
2020-08-22,2020,8,22,Saturday,33,2020-33,11679.7,11713.43,11559.92,11664.85,18482062658.0,11664.85,-0.0014533293195752028
2020-08-23,2020,8,23,Sunday,34,2020-34,11663.69,11807.63,11623.25,11774.6,20681511755.0,11774.6,0.00940844236539995
2020-08-24,2020,8,24,Monday,34,2020-34,11773.59,11778.3,11189.85,11366.13,26301509932.0,11366.13,-0.034690018052305094
2020-08-25,2020,8,25,Tuesday,34,2020-34,11366.89,11530.05,11296.99,11488.36,22466660958.0,11488.36,0.010753745063331488
2020-08-26,2020,8,26,Wednesday,34,2020-34,11485.61,11570.79,11185.94,11323.4,23240415076.0,11323.4,-0.01435938403704018
2020-08-27,2020,8,27,Thursday,34,2020-34,11325.3,11545.62,11316.42,11542.5,19807127588.0,11542.5,0.01934954061432026
2020-08-28,2020,8,28,Friday,34,2020-34,11541.05,11585.64,11466.29,11506.87,17485597759.0,11506.87,-0.0030872658111327222
2020-08-29,2020,8,29,Saturday,34,2020-34,11508.71,11715.26,11492.38,11711.51,19760127945.0,11711.51,0.017784220187846422
2020-08-30,2020,8,30,Sunday,35,2020-35,11713.31,11768.88,11598.32,11680.82,22285928250.0,11680.82,-0.0026201196706430174
2020-08-31,2020,8,31,Monday,35,2020-35,11679.32,12067.08,11601.13,11970.48,27311555343.0,11970.48,0.024797762089964426
2020-09-01,2020,9,1,Tuesday,35,2020-35,11964.82,11964.82,11290.79,11414.03,28037405299.0,11414.03,-0.04648471948812871
2020-09-02,2020,9,2,Wednesday,35,2020-35,11407.19,11443.02,10182.46,10245.3,31927261555.0,10245.3,-0.10239476124641311
2020-09-03,2020,9,3,Thursday,35,2020-35,10230.37,10663.92,10207.94,10511.81,29965130374.0,10511.81,0.02601355576262887
2020-09-04,2020,9,4,Friday,35,2020-35,10512.53,10581.57,9946.68,10169.57,44916565292.0,10169.57,-0.03255823502891142
2020-09-05,2020,9,5,Saturday,35,2020-35,10167.22,10353.93,10056.89,10280.35,37071460174.0,10280.35,0.010893696409813414
